ID,Principal,Maturity,Coupon Rate,LGD,Counterparty,Number of Bonds,Industry
48461,"$11,000",20-Jun-2018,4.0%,0.207,Citigroup,110,1
42675,"$4,000",24-May-2017,4.5%,0.292,Capital One,40,9
44189,"$14,000",2-Nov-2017,8.0%,0.287,JPMorgan Chase,140,2
30890,"$1,000",13-Jul-2017,6.0%,0.292,JPMorgan Chase,10,8
55326,"$6,000",9-Dec-2019,4.5%,0.287,Barclays,60,3
40706,"$2,000",3-Feb-2020,6.5%,0.522,Bank of America,20,7
34236,"$4,000",14-Dec-2019,7.5%,0.287,Bank of America,40,8
57636,"$5,000",3-Aug-2017,4.0%,0.207,Capital One,50,7
54203,"$9,000",15-Mar-2020,9.0%,0.522,Suntrust,90,4
39981,"$11,000",9-Aug-2019,4.5%,0.287,Suntrust,110,4
30572,"$7,000",11-Aug-2017,8.0%,0.287,JPMorgan Chase,70,2
42519,"$3,000",22-Dec-2017,4.5%,0.526,US Bancorp,30,4
47257,"$8,000",22-Aug-2017,4.0%,0.526,TD Bank,80,9
32277,"$8,000",21-Aug-2019,7.0%,0.292,Fidelity,80,8
45951,"$6,000",10-Jun-2018,6.0%,0.526,American Express,60,10
38602,"$8,000",13-Nov-2017,4.5%,0.287,TD Bank,80,5
40535,"$52,000",10-Jul-2017,5.5%,0.526,Wells Fargo,520,9
37822,"$6,000",5-Mar-2021,3.5%,0.522,HSBC,60,9
52460,"$2,000",13-Apr-2020,6.0%,0.292,American Express,20,9
49330,"$7,000",30-Dec-2017,8.0%,0.292,Goldman Sachs,70,1
46276,"$15,000",11-Jun-2020,7.0%,0.207,JPMorgan Chase,150,2
31252,"$20,000",31-Aug-2020,4.5%,0.522,American Express,200,2
39781,"$13,000",15-Sep-2018,6.5%,0.526,JPMorgan Chase,130,4
51318,"$14,000",18-Apr-2018,4.0%,0.292,JPMorgan Chase,140,5
48760,"$5,000",6-Feb-2019,4.5%,0.207,Banco Santander,50,4
31336,"$14,000",11-Sep-2019,9.0%,0.522,American Express,140,7
56082,"$8,000",2-Jun-2017,6.0%,0.292,Citigroup,80,4
39359,"$5,000",18-May-2020,4.0%,0.207,Barclays,50,6
59037,"$4,000",18-Dec-2017,3.0%,0.287,Citigroup,40,2
43799,"$7,000",29-Oct-2020,6.0%,0.287,Suntrust,70,5
31289,"$4,000",26-Mar-2019,6.0%,0.207,Suntrust,40,4
35318,"$4,000",4-Jan-2020,6.5%,0.526,Citigroup,40,9
32156,"$5,000",8-Jan-2019,5.0%,0.522,US Bancorp,50,9
52598,"$4,000",30-Sep-2019,3.5%,0.526,Suntrust,40,4
53087,"$8,000",13-May-2019,4.0%,0.292,TD Bank,80,9
58932,"$4,000",9-Oct-2019,4.0%,0.287,Barclays,40,10
33582,"$12,000",14-Jan-2018,4.0%,0.207,HSBC,120,2
45936,"$12,000",28-Dec-2019,5.0%,0.292,Bank of America,120,5
60729,"$14,000",20-Apr-2021,8.0%,0.526,Capital One,140,9
35710,"$4,000",18-Mar-2019,9.0%,0.522,Barclays,40,7
47004,"$18,000",14-Mar-2021,7.5%,0.287,Deutsche Bank,180,5
53395,"$5,000",10-Mar-2018,4.0%,0.522,Barclays,50,1
40371,"$5,000",28-Nov-2020,8.0%,0.522,Suntrust,50,10
31026,"$4,000",15-Jan-2019,7.5%,0.292,Banco Santander,40,3
51473,"$12,000",1-May-2019,6.0%,0.526,Wells Fargo,120,1
41109,"$16,000",31-Oct-2019,9.0%,0.522,Bank of America,160,2
44191,"$3,000",14-Feb-2020,3.0%,0.207,Barclays,30,9
44948,"$5,000",14-Dec-2019,6.5%,0.207,TD Bank,50,6
49602,"$5,000",18-Feb-2020,6.0%,0.522,Deutsche Bank,50,9
38716,"$6,000",18-Jul-2017,5.0%,0.207,Goldman Sachs,60,5
47427,"$6,000",9-Jan-2020,7.5%,0.287,HSBC,60,3
59650,"$6,000",24-Jul-2018,4.0%,0.526,Banco Santander,60,1
43618,"$24,000",8-Jul-2017,4.0%,0.522,Deutsche Bank,240,1
60036,"$7,000",3-Feb-2019,8.0%,0.292,Deutsche Bank,70,7
48989,"$7,000",22-Jun-2020,6.5%,0.287,Barclays,70,9
31595,"$6,000",11-Jun-2017,9.0%,0.522,Fidelity,60,3
36664,"$11,000",2-May-2019,5.0%,0.287,American Express,110,7
52877,"$5,000",1-Mar-2019,7.0%,0.526,Banco Santander,50,3
58169,"$9,000",5-Oct-2020,5.0%,0.292,HSBC,90,8
48974,"$6,000",24-Jun-2017,4.5%,0.526,American Express,60,6
59251,"$3,000",16-Jan-2019,8.0%,0.287,Fidelity,30,9
52414,"$4,000",17-Apr-2018,7.0%,0.522,Suntrust,40,9
55668,"$2,000",3-May-2021,4.5%,0.207,Wells Fargo,20,8
34198,"$2,000",18-Jan-2019,4.5%,0.522,HSBC,20,5
59134,"$7,000",16-Apr-2019,8.5%,0.522,HSBC,70,8
57672,"$8,000",20-Dec-2019,8.0%,0.522,Wells Fargo,80,8
60587,"$6,000",27-May-2020,7.0%,0.292,Suntrust,60,7
40904,"$12,000",31-Oct-2017,3.0%,0.207,Citigroup,120,3
52094,"$9,000",3-Nov-2020,4.0%,0.287,Fidelity,90,2
42414,"$10,000",30-Sep-2018,4.5%,0.287,Deutsche Bank,100,2
40526,"$2,000",20-Oct-2020,5.0%,0.526,Deutsche Bank,20,10
31322,"$2,000",27-Jun-2017,8.0%,0.522,Goldman Sachs,20,4
37199,"$21,000",8-Dec-2018,7.5%,0.207,Barclays,210,1
39550,"$5,000",27-Sep-2018,8.5%,0.522,Bank of America,50,7
37197,"$15,000",12-Jan-2018,7.0%,0.207,Fidelity,150,8
34811,"$4,000",28-Oct-2017,4.0%,0.522,US Bancorp,40,5
44466,"$4,000",1-Sep-2020,7.5%,0.292,Fidelity,40,3
41405,"$7,000",18-Nov-2020,8.5%,0.522,TD Bank,70,1
60441,"$13,000",30-Dec-2017,7.5%,0.207,Capital One,130,4
44182,"$10,000",23-Nov-2017,5.0%,0.526,Capital One,100,6
60554,"$2,000",8-Mar-2018,9.0%,0.522,Capital One,20,9
38486,"$18,000",24-Apr-2021,8.0%,0.287,US Bancorp,180,1
40402,"$3,000",28-Oct-2019,8.0%,0.292,TD Bank,30,7
49091,"$3,000",5-Jul-2019,6.0%,0.292,Banco Santander,30,9
50745,"$6,000",17-Jan-2020,3.0%,0.526,Goldman Sachs,60,2
40873,"$6,000",18-Nov-2018,9.0%,0.207,Fidelity,60,6
49380,"$7,000",5-May-2020,4.5%,0.292,HSBC,70,9
58957,"$3,000",29-Apr-2018,5.5%,0.522,Goldman Sachs,30,7
51503,"$18,000",23-Apr-2020,8.5%,0.292,Bank of America,180,4
54316,"$8,000",11-Feb-2021,5.0%,0.207,Deutsche Bank,80,9
41492,"$2,000",22-Dec-2019,8.0%,0.526,US Bancorp,20,5
44173,"$6,000",28-Sep-2018,6.5%,0.287,Goldman Sachs,60,9
38816,"$3,000",15-May-2019,4.0%,0.522,Bank of America,30,2
45431,"$5,000",10-Nov-2019,8.0%,0.292,Deutsche Bank,50,8
33391,"$10,000",29-Dec-2017,5.0%,0.287,Goldman Sachs,100,9
53009,"$5,000",9-Jan-2019,8.5%,0.526,American Express,50,9
59032,"$13,000",15-Apr-2021,7.5%,0.526,American Express,130,3
54388,"$4,000",15-Jul-2018,6.0%,0.526,Banco Santander,40,3
41396,"$7,000",3-Feb-2021,7.5%,0.292,JPMorgan Chase,70,7
41261,"$3,000",10-Dec-2019,8.0%,0.522,TD Bank,30,4
47108,"$5,000",30-May-2017,6.0%,0.292,JPMorgan Chase,50,4
45176,"$9,000",7-Apr-2018,3.5%,0.292,JPMorgan Chase,90,3
51957,"$10,000",5-Jun-2019,5.0%,0.526,JPMorgan Chase,100,4
37056,"$2,000",7-Feb-2018,6.0%,0.526,HSBC,20,10
33296,"$7,000",29-Dec-2020,3.0%,0.522,US Bancorp,70,2
31396,"$12,000",19-Sep-2019,9.0%,0.287,JPMorgan Chase,120,5
34322,"$10,000",22-Nov-2019,3.0%,0.207,Banco Santander,100,5
34520,"$25,000",19-Jan-2018,4.0%,0.522,TD Bank,250,2
54706,"$5,000",23-Apr-2020,5.0%,0.292,Suntrust,50,3
30134,"$12,000",28-Dec-2019,7.5%,0.207,US Bancorp,120,6
38480,"$6,000",27-Mar-2019,9.0%,0.287,Fidelity,60,3
48070,"$5,000",4-Sep-2020,8.0%,0.526,Deutsche Bank,50,7
31626,"$4,000",18-Sep-2019,6.0%,0.207,Capital One,40,4
55313,"$19,000",17-Feb-2018,6.0%,0.287,Deutsche Bank,190,2
42981,"$9,000",16-Feb-2020,4.5%,0.292,Suntrust,90,5
50155,"$4,000",13-Feb-2019,8.5%,0.292,HSBC,40,7
36484,"$7,000",11-Feb-2021,9.0%,0.207,Fidelity,70,8
56373,"$11,000",26-Nov-2019,5.0%,0.522,US Bancorp,110,4
59631,"$21,000",31-Mar-2020,8.0%,0.526,Suntrust,210,4
59853,"$2,000",29-Jan-2020,3.5%,0.292,US Bancorp,20,9
38579,"$13,000",17-May-2020,3.5%,0.207,HSBC,130,1
49525,"$4,000",8-Jun-2017,8.0%,0.207,HSBC,40,9
40642,"$6,000",2-Apr-2021,4.5%,0.207,Suntrust,60,5
32840,"$4,000",8-May-2019,3.0%,0.526,JPMorgan Chase,40,6
31963,"$10,000",25-Sep-2018,7.5%,0.292,Goldman Sachs,100,3
37377,"$5,000",20-Sep-2020,6.5%,0.526,Suntrust,50,2
34229,"$9,000",11-Jan-2019,5.5%,0.522,Suntrust,90,9
44261,"$12,000",6-Jun-2019,7.5%,0.526,HSBC,120,10
43839,"$12,000",8-Apr-2020,8.5%,0.292,JPMorgan Chase,120,1
45034,"$11,000",19-Nov-2018,7.0%,0.287,Wells Fargo,110,5
55831,"$3,000",13-Mar-2020,8.0%,0.292,JPMorgan Chase,30,10
55291,"$8,000",12-Feb-2020,8.0%,0.207,Barclays,80,6
59543,"$22,000",22-Mar-2019,5.0%,0.292,Banco Santander,220,10
55781,"$7,000",19-Apr-2021,3.5%,0.526,Fidelity,70,2
55478,"$20,000",13-Aug-2020,7.0%,0.287,Banco Santander,200,8
46258,"$8,000",16-Oct-2018,3.0%,0.526,HSBC,80,9
46129,"$30,000",23-Nov-2019,4.0%,0.287,Capital One,300,5
53830,"$4,000",13-Aug-2017,7.0%,0.207,Deutsche Bank,40,2
49658,"$5,000",22-Feb-2018,6.5%,0.526,Fidelity,50,8
53214,"$6,000",18-Mar-2019,8.0%,0.292,Wells Fargo,60,8
34436,"$5,000",26-Sep-2017,4.5%,0.207,Wells Fargo,50,8
58368,"$5,000",1-May-2020,4.5%,0.526,Goldman Sachs,50,3
31426,"$1,000",29-Nov-2019,8.0%,0.292,Citigroup,10,9
35644,"$8,000",6-Sep-2020,4.5%,0.207,JPMorgan Chase,80,9
40724,"$11,000",2-Jan-2020,4.0%,0.292,American Express,110,1
55404,"$7,000",14-Apr-2019,4.0%,0.292,Bank of America,70,2
39832,"$12,000",12-Sep-2017,3.5%,0.287,US Bancorp,120,5
55547,"$6,000",24-Apr-2021,4.0%,0.292,Banco Santander,60,2
57385,"$3,000",7-May-2019,7.0%,0.526,Barclays,30,4
39748,"$17,000",15-Apr-2018,8.5%,0.526,HSBC,170,8
47309,"$4,000",3-Mar-2021,7.0%,0.522,Barclays,40,6
60029,"$16,000",18-Feb-2018,3.5%,0.526,Goldman Sachs,160,6
46783,"$21,000",4-Aug-2018,6.0%,0.526,Goldman Sachs,210,6
48645,"$4,000",15-Sep-2017,5.5%,0.207,American Express,40,2
43576,"$16,000",12-Jun-2020,4.5%,0.526,Citigroup,160,2
55204,"$6,000",17-Jan-2021,5.5%,0.207,Suntrust,60,9
36777,"$3,000",18-May-2018,4.0%,0.287,Barclays,30,8
32802,"$9,000",19-Nov-2017,9.0%,0.287,Barclays,90,4
43794,"$9,000",1-Apr-2020,8.5%,0.292,HSBC,90,2
45150,"$10,000",24-Dec-2019,8.0%,0.522,Barclays,100,1
51363,"$4,000",5-Aug-2018,6.0%,0.526,Goldman Sachs,40,6
43764,"$3,000",14-Mar-2020,5.0%,0.287,Bank of America,30,4
46387,"$16,000",14-Aug-2019,3.0%,0.207,HSBC,160,4
57990,"$18,000",22-Sep-2019,4.0%,0.526,US Bancorp,180,5
48732,"$13,000",30-Nov-2020,8.0%,0.287,American Express,130,4
43392,"$3,000",12-Aug-2020,4.0%,0.287,Barclays,30,6
55441,"$6,000",4-Oct-2020,9.0%,0.522,Deutsche Bank,60,6
32636,"$7,000",8-Jun-2017,6.0%,0.287,HSBC,70,9
35977,"$16,000",12-Aug-2017,3.5%,0.526,Deutsche Bank,160,1
58421,"$4,000",8-Sep-2017,6.5%,0.522,Wells Fargo,40,8
53722,"$15,000",28-Nov-2019,6.5%,0.526,Capital One,150,10
44643,"$11,000",28-Aug-2017,6.0%,0.207,Goldman Sachs,110,4
55465,"$12,000",15-Jun-2020,7.5%,0.207,US Bancorp,120,3
30019,"$2,000",12-Oct-2020,4.0%,0.526,Bank of America,20,7
34914,"$9,000",11-Aug-2019,8.0%,0.522,Capital One,90,6
53371,"$6,000",10-Nov-2020,4.0%,0.287,JPMorgan Chase,60,4
51853,"$3,000",3-Dec-2019,3.0%,0.526,Bank of America,30,3
38915,"$4,000",11-Jul-2018,7.5%,0.292,US Bancorp,40,4
55863,"$4,000",6-Dec-2019,6.0%,0.207,Deutsche Bank,40,9
33649,"$3,000",2-Sep-2017,8.0%,0.292,HSBC,30,3
49790,"$9,000",5-Feb-2021,6.5%,0.522,Goldman Sachs,90,1
57065,"$13,000",2-Mar-2020,5.0%,0.526,Suntrust,130,3
40153,"$11,000",19-May-2017,8.0%,0.207,Goldman Sachs,110,2
41143,"$9,000",14-Sep-2017,7.0%,0.522,Suntrust,90,7
31486,"$2,000",3-Jun-2019,4.0%,0.522,Barclays,20,9
36055,"$18,000",6-Sep-2017,4.5%,0.287,American Express,180,10
57412,"$2,000",12-Oct-2019,6.5%,0.292,Suntrust,20,5
54326,"$3,000",19-Aug-2017,5.0%,0.522,US Bancorp,30,1
38238,"$6,000",4-Dec-2018,6.5%,0.292,Bank of America,60,6
48469,"$3,000",13-Apr-2018,8.0%,0.292,US Bancorp,30,5
57900,"$2,000",22-Nov-2020,6.0%,0.207,Barclays,20,4
48709,"$6,000",17-Jul-2020,7.0%,0.522,Bank of America,60,1
55308,"$5,000",12-Jul-2017,3.0%,0.522,US Bancorp,50,2
50776,"$7,000",22-Apr-2018,5.5%,0.207,Barclays,70,4
53833,"$6,000",12-May-2017,6.5%,0.207,JPMorgan Chase,60,10
49046,"$8,000",11-Apr-2018,7.0%,0.287,US Bancorp,80,6
30448,"$7,000",22-May-2017,8.0%,0.526,HSBC,70,3
56956,"$9,000",30-May-2017,4.5%,0.292,Bank of America,90,1
41559,"$2,000",8-May-2019,6.5%,0.292,Capital One,20,2
46015,"$6,000",1-Oct-2019,4.5%,0.522,American Express,60,7
56755,"$3,000",19-Jan-2021,6.5%,0.207,Barclays,30,5
39388,"$5,000",13-Aug-2018,4.0%,0.207,Goldman Sachs,50,9
32834,"$5,000",23-May-2020,4.5%,0.287,JPMorgan Chase,50,1
48434,"$8,000",6-Feb-2021,6.0%,0.287,Goldman Sachs,80,5
45662,"$6,000",17-Jan-2018,7.5%,0.207,Suntrust,60,4
56588,"$6,000",26-Nov-2017,3.5%,0.287,TD Bank,60,10
47244,"$18,000",21-Feb-2019,6.0%,0.522,TD Bank,180,2
34064,"$6,000",18-Sep-2017,5.5%,0.207,Capital One,60,2
30809,"$11,000",13-May-2018,8.5%,0.207,Banco Santander,110,6
59807,"$3,000",2-Nov-2019,4.0%,0.292,Citigroup,30,1
50351,"$6,000",24-Apr-2020,7.5%,0.292,Capital One,60,5
34557,"$16,000",1-Jun-2018,6.5%,0.526,Banco Santander,160,10
47431,"$9,000",15-Dec-2017,3.0%,0.526,Bank of America,90,2
58370,"$7,000",8-Mar-2018,3.0%,0.207,Suntrust,70,5
45998,"$10,000",9-Oct-2020,8.5%,0.526,TD Bank,100,6
40919,"$3,000",3-May-2020,6.5%,0.526,US Bancorp,30,7
47490,"$2,000",23-Nov-2018,6.0%,0.287,Deutsche Bank,20,4
52497,"$7,000",6-Jan-2018,7.0%,0.522,Citigroup,70,8
53617,"$13,000",19-Jul-2018,3.0%,0.287,Deutsche Bank,130,5
31604,"$37,000",28-Jun-2020,5.5%,0.287,American Express,370,2
32813,"$7,000",4-Mar-2020,8.5%,0.522,HSBC,70,8
33999,"$5,000",26-Sep-2020,4.0%,0.522,Capital One,50,10
42880,"$10,000",11-Jun-2018,7.0%,0.207,US Bancorp,100,4
53029,"$15,000",22-Mar-2020,8.5%,0.287,US Bancorp,150,7
45775,"$11,000",23-Apr-2020,9.0%,0.287,JPMorgan Chase,110,3
51925,"$3,000",23-Jul-2017,3.5%,0.292,Goldman Sachs,30,3
36658,"$5,000",23-Sep-2019,8.0%,0.522,American Express,50,7
48450,"$3,000",25-Jan-2018,9.0%,0.287,US Bancorp,30,9
45859,"$3,000",15-May-2018,3.5%,0.522,American Express,30,5
30839,"$14,000",31-Aug-2019,7.0%,0.526,TD Bank,140,4
32327,"$4,000",9-Aug-2019,9.0%,0.207,Wells Fargo,40,3
32340,"$2,000",13-Oct-2018,6.5%,0.207,Citigroup,20,7
41359,"$10,000",28-Jun-2017,4.5%,0.526,JPMorgan Chase,100,3
55657,"$8,000",7-Dec-2019,3.5%,0.522,American Express,80,4
54077,"$9,000",20-Oct-2018,4.0%,0.207,Suntrust,90,3
30223,"$6,000",20-Sep-2018,6.5%,0.207,Wells Fargo,60,2
42335,"$6,000",29-Oct-2017,8.0%,0.287,Bank of America,60,7
55317,"$12,000",27-Jul-2019,6.0%,0.292,Banco Santander,120,6
59883,"$3,000",9-Mar-2020,3.5%,0.526,Goldman Sachs,30,9
60344,"$45,000",14-Jul-2017,4.5%,0.522,US Bancorp,450,5
55939,"$9,000",3-Apr-2018,8.5%,0.292,US Bancorp,90,5
35751,"$6,000",27-Nov-2018,4.0%,0.526,Bank of America,60,5
31274,"$9,000",2-Oct-2017,7.5%,0.522,Barclays,90,5
36518,"$9,000",8-Nov-2018,7.0%,0.207,Wells Fargo,90,8
44015,"$14,000",27-Jun-2020,8.5%,0.522,Barclays,140,7
53804,"$15,000",15-Sep-2017,6.0%,0.287,Capital One,150,5
59736,"$11,000",15-Mar-2021,3.0%,0.526,Deutsche Bank,110,9
47882,"$16,000",26-Dec-2017,3.0%,0.522,Wells Fargo,160,7
31670,"$4,000",21-Dec-2020,8.0%,0.207,Banco Santander,40,6
55669,"$7,000",13-Dec-2017,4.5%,0.287,American Express,70,7
46531,"$23,000",25-Aug-2018,5.0%,0.287,Wells Fargo,230,9
44804,"$7,000",3-Oct-2017,8.0%,0.207,Fidelity,70,7
30580,"$6,000",10-Dec-2020,8.5%,0.522,US Bancorp,60,4
42242,"$5,000",9-Dec-2018,3.5%,0.207,Bank of America,50,1
41163,"$6,000",24-Aug-2017,7.5%,0.292,Fidelity,60,2
36938,"$6,000",6-Jan-2018,7.0%,0.522,Citigroup,60,5
32658,"$13,000",25-Sep-2017,7.5%,0.522,Citigroup,130,9
53610,"$5,000",6-Nov-2017,8.5%,0.522,Wells Fargo,50,5
44151,"$9,000",13-Feb-2021,4.0%,0.292,American Express,90,2
46205,"$3,000",15-Sep-2019,7.5%,0.287,HSBC,30,1
58023,"$6,000",24-Oct-2019,3.5%,0.287,Suntrust,60,7
49088,"$8,000",17-Aug-2018,8.5%,0.522,Barclays,80,5
53841,"$7,000",13-Apr-2021,4.5%,0.522,Suntrust,70,4
32126,"$9,000",12-Apr-2021,3.0%,0.292,TD Bank,90,6
48258,"$3,000",10-Nov-2020,3.5%,0.292,Suntrust,30,9
52138,"$14,000",12-Oct-2020,6.0%,0.522,HSBC,140,3
38617,"$17,000",21-Jun-2017,3.0%,0.522,HSBC,170,5
53408,"$3,000",18-Jul-2018,5.5%,0.522,US Bancorp,30,8
32564,"$4,000",25-Jul-2018,7.5%,0.522,Barclays,40,9
55107,"$19,000",21-Nov-2018,7.0%,0.207,Barclays,190,10
53163,"$4,000",18-Jan-2021,4.0%,0.526,Wells Fargo,40,6
44593,"$7,000",15-Nov-2017,9.0%,0.292,HSBC,70,8
40896,"$8,000",13-Sep-2020,7.0%,0.292,Goldman Sachs,80,6
40059,"$17,000",9-Nov-2020,7.5%,0.207,Bank of America,170,1
54318,"$4,000",27-Jan-2019,8.0%,0.207,Goldman Sachs,40,9
56167,"$5,000",15-Jul-2017,6.5%,0.292,Citigroup,50,8
57680,"$6,000",23-Jul-2017,3.0%,0.292,Fidelity,60,8
53280,"$3,000",5-Jul-2020,6.5%,0.522,Goldman Sachs,30,6
43431,"$4,000",7-Sep-2020,4.5%,0.292,Banco Santander,40,5
60538,"$9,000",18-Oct-2019,3.0%,0.526,Citigroup,90,9
44503,"$4,000",8-Oct-2020,4.5%,0.526,Citigroup,40,2
55677,"$4,000",2-Nov-2017,3.5%,0.292,Deutsche Bank,40,7
43993,"$4,000",18-Jan-2021,7.0%,0.526,Fidelity,40,2
43536,"$11,000",24-Jun-2019,6.0%,0.292,TD Bank,110,7
52126,"$12,000",5-Apr-2020,3.5%,0.207,Suntrust,120,6
30834,"$12,000",9-Feb-2021,6.0%,0.287,Wells Fargo,120,5
48394,"$5,000",6-Aug-2017,6.0%,0.287,American Express,50,2
54583,"$5,000",18-May-2019,8.0%,0.207,Citigroup,50,7
48475,"$6,000",23-Jan-2021,5.0%,0.526,Wells Fargo,60,8
34714,"$12,000",7-May-2019,3.5%,0.522,Goldman Sachs,120,6
52895,"$6,000",30-May-2020,5.5%,0.522,US Bancorp,60,10
47471,"$4,000",24-Mar-2018,9.0%,0.526,Banco Santander,40,2
50058,"$2,000",26-May-2020,6.0%,0.287,TD Bank,20,10
42905,"$7,000",6-Mar-2020,4.0%,0.292,Banco Santander,70,3
38888,"$8,000",14-Jul-2017,3.5%,0.292,JPMorgan Chase,80,4
52542,"$8,000",1-Jul-2017,6.5%,0.207,HSBC,80,10
56797,"$11,000",30-Jul-2020,8.5%,0.522,Suntrust,110,9
54585,"$1,000",1-May-2019,8.5%,0.292,American Express,10,2
37902,"$6,000",15-Dec-2018,3.5%,0.522,Barclays,60,3
57645,"$2,000",16-Jul-2019,4.0%,0.292,TD Bank,20,6
37970,"$7,000",13-Feb-2018,6.5%,0.207,Deutsche Bank,70,9
34513,"$5,000",1-May-2020,8.0%,0.287,American Express,50,5
41151,"$18,000",4-May-2021,7.5%,0.207,Citigroup,180,8
48502,"$5,000",27-Jan-2021,6.5%,0.292,Suntrust,50,2
39420,"$8,000",1-Jul-2017,8.5%,0.522,US Bancorp,80,4
49723,"$14,000",16-Sep-2019,7.0%,0.522,HSBC,140,5
60304,"$2,000",14-Sep-2018,3.0%,0.207,JPMorgan Chase,20,7
59871,"$9,000",10-Jan-2020,4.5%,0.207,Bank of America,90,1
53334,"$4,000",26-Nov-2017,6.0%,0.287,Fidelity,40,2
60164,"$7,000",5-Nov-2020,8.5%,0.522,Wells Fargo,70,5
44934,"$14,000",8-May-2021,6.5%,0.526,Wells Fargo,140,2
43855,"$15,000",21-Feb-2018,3.5%,0.292,Deutsche Bank,150,8
43733,"$5,000",24-Jul-2017,5.5%,0.522,US Bancorp,50,5
41134,"$11,000",30-Jan-2021,4.0%,0.287,Barclays,110,4
54741,"$11,000",18-Jan-2019,3.5%,0.526,Citigroup,110,1
57638,"$3,000",27-Oct-2017,6.5%,0.522,American Express,30,3
50649,"$13,000",10-Jun-2017,6.0%,0.292,Fidelity,130,8
37886,"$11,000",24-Jan-2019,4.0%,0.522,US Bancorp,110,6
33942,"$10,000",22-Oct-2017,5.5%,0.522,Suntrust,100,5
50935,"$4,000",20-Jun-2019,4.5%,0.526,Goldman Sachs,40,1
59598,"$7,000",11-Jun-2017,3.0%,0.526,US Bancorp,70,8
56181,"$11,000",26-Dec-2020,6.5%,0.526,Suntrust,110,2
30592,"$3,000",14-Apr-2019,7.0%,0.526,TD Bank,30,4
35158,"$10,000",25-May-2019,8.5%,0.287,Wells Fargo,100,4
59461,"$11,000",18-Apr-2018,5.0%,0.522,Citigroup,110,5
36723,"$6,000",24-Oct-2019,8.0%,0.292,Fidelity,60,1
35704,"$9,000",13-Apr-2018,8.0%,0.522,Goldman Sachs,90,3
59539,"$17,000",13-Aug-2017,5.5%,0.287,American Express,170,2
36487,"$10,000",30-Sep-2020,4.5%,0.522,Bank of America,100,3
41206,"$8,000",12-Oct-2020,7.0%,0.526,Barclays,80,8
46351,"$1,000",27-Jan-2018,3.5%,0.526,Wells Fargo,10,6
45444,"$11,000",21-Jan-2020,4.5%,0.526,Goldman Sachs,110,4
55247,"$4,000",18-Jun-2020,4.0%,0.207,Deutsche Bank,40,9
48024,"$8,000",8-Sep-2017,8.5%,0.287,JPMorgan Chase,80,8
38387,"$3,000",15-May-2019,8.0%,0.522,Citigroup,30,8
36629,"$2,000",31-Jul-2019,4.0%,0.526,JPMorgan Chase,20,1
42394,"$12,000",2-Sep-2020,5.0%,0.207,TD Bank,120,2
50217,"$3,000",31-Jan-2019,6.5%,0.526,US Bancorp,30,6
55234,"$24,000",27-Sep-2019,8.0%,0.287,Wells Fargo,240,1
55206,"$8,000",18-Apr-2021,6.0%,0.526,Barclays,80,3
57007,"$17,000",24-Sep-2020,3.5%,0.522,American Express,170,3
45123,"$3,000",10-Mar-2018,7.5%,0.522,Barclays,30,3
51829,"$12,000",11-Jul-2017,4.5%,0.522,American Express,120,2
56240,"$9,000",3-Aug-2020,7.0%,0.522,TD Bank,90,6
58494,"$6,000",5-Apr-2018,9.0%,0.526,Goldman Sachs,60,5
31144,"$5,000",15-Apr-2018,5.5%,0.526,Capital One,50,1
55608,"$4,000",30-Oct-2018,6.5%,0.287,Deutsche Bank,40,8
55823,"$6,000",23-Oct-2017,6.5%,0.287,Suntrust,60,8
40123,"$7,000",22-Feb-2021,5.5%,0.526,Goldman Sachs,70,2
52333,"$12,000",17-Nov-2020,7.0%,0.287,US Bancorp,120,1
34871,"$5,000",25-Jun-2019,7.0%,0.522,Goldman Sachs,50,8
35738,"$5,000",6-Nov-2017,4.5%,0.522,JPMorgan Chase,50,9
46020,"$6,000",18-Jan-2018,5.0%,0.292,TD Bank,60,9
42566,"$4,000",13-Apr-2020,4.5%,0.522,Goldman Sachs,40,10
45622,"$8,000",23-Nov-2017,8.0%,0.287,Deutsche Bank,80,8
37963,"$2,000",27-Apr-2019,8.5%,0.526,JPMorgan Chase,20,5
34152,"$7,000",2-May-2019,5.0%,0.526,Bank of America,70,4
32928,"$3,000",7-Aug-2017,6.5%,0.522,Suntrust,30,10
30049,"$7,000",24-Nov-2018,8.0%,0.287,Fidelity,70,6
42642,"$6,000",27-May-2019,5.5%,0.287,Capital One,60,7
37308,"$5,000",9-Oct-2020,7.5%,0.292,American Express,50,10
44548,"$6,000",26-May-2020,4.0%,0.287,Wells Fargo,60,9
40667,"$4,000",24-Feb-2018,7.5%,0.287,JPMorgan Chase,40,5
40243,"$4,000",10-Apr-2020,4.5%,0.522,JPMorgan Chase,40,7
52586,"$3,000",24-Mar-2020,8.0%,0.522,Capital One,30,5
53951,"$9,000",6-Nov-2019,7.5%,0.287,Fidelity,90,5
59289,"$5,000",26-Dec-2018,9.0%,0.522,Bank of America,50,2
45103,"$6,000",23-Jul-2020,4.5%,0.207,US Bancorp,60,3
38737,"$8,000",25-Mar-2020,3.5%,0.526,Goldman Sachs,80,2
54149,"$13,000",16-Dec-2020,3.0%,0.526,TD Bank,130,5
36872,"$22,000",2-Apr-2018,5.5%,0.292,Capital One,220,9
54223,"$10,000",27-Jul-2019,4.0%,0.292,American Express,100,2
